Mass,Beg,Species
9.637522248,0,Cuckoo
10.22915078,0,Cuckoo
13.10370582,0,Cuckoo
15.2173913,0,Cuckoo
16.23188406,0,Cuckoo
20.12077295,0,Cuckoo
24.60129036,0,Cuckoo
27.13768116,0,Cuckoo
31.70289855,0,Cuckoo
22.33918129,29,Cuckoo
23.52275617,29,Cuckoo
24.20814264,42,Cuckoo
26.82319476,34,Cuckoo
26.22791126,29,Cuckoo
33.26325324,55,Cuckoo
39.59922451,48,Cuckoo
37.39750191,43,Cuckoo
4.987922705,0,Warbler
6.172133232,1,Warbler
6.004004577,2,Warbler
7.439454615,0,Warbler
7.777618866,0,Warbler
9.55345792,0,Warbler
7.441838291,3,Warbler
9.471141622,4,Warbler
8.796878973,7,Warbler
10.65582888,5,Warbler
10.74132342,7,Warbler
9.982201882,9,Warbler
8.884121536,10,Warbler
10.662821,15,Warbler
11.08298373,12,Warbler
12.52129418,13,Warbler
11.08409611,13,Warbler
16.23251971,1,Warbler
19.11279558,9,Warbler
20.54967582,9,Warbler
21.98401348,5,Warbler
25.28302187,7,Warbler
26.38857107,17,Warbler
27.23445843,17,Warbler
25.46259217,22,Warbler
22.50047674,18,Warbler
31.80936944,31,Warbler
31.81222985,35,Warbler
31.56194381,40,Warbler
29.87414188,44,Warbler
38.31283371,22,Warbler
38.3234808,37,Warbler
36.46993389,46,Warbler
39.60287948,53,Warbler
