partners,type,longevity,thorax,sleep
8,Inseminated,35,0.64,22
8,Inseminated,37,0.68,9
8,Inseminated,49,0.68,49
8,Inseminated,46,0.72,1
8,Inseminated,63,0.72,23
8,Inseminated,39,0.76,83
8,Inseminated,46,0.76,23
8,Inseminated,56,0.76,15
8,Inseminated,63,0.76,9
8,Inseminated,65,0.76,81
8,Inseminated,56,0.8,12
8,Inseminated,65,0.8,15
8,Inseminated,70,0.8,37
8,Inseminated,63,0.84,24
8,Inseminated,65,0.84,26
8,Inseminated,70,0.84,17
8,Inseminated,77,0.84,14
8,Inseminated,81,0.84,14
8,Inseminated,86,0.84,6
8,Inseminated,70,0.88,25
8,Inseminated,70,0.88,18
8,Inseminated,77,0.92,26
8,Inseminated,77,0.92,24
8,Inseminated,81,0.92,29
8,Inseminated,77,0.94,27
0,Control,40,0.64,18
0,Control,37,0.7,6
0,Control,44,0.72,19
0,Control,47,0.72,7
0,Control,47,0.72,16
0,Control,47,0.76,13
0,Control,68,0.78,35
0,Control,47,0.8,2
0,Control,54,0.84,35
0,Control,61,0.84,6
0,Control,71,0.84,15
0,Control,75,0.84,14
0,Control,89,0.84,18
0,Control,58,0.88,50
0,Control,59,0.88,25
0,Control,62,0.88,10
0,Control,79,0.88,33
0,Control,96,0.88,43
0,Control,58,0.92,35
0,Control,62,0.92,17
0,Control,70,0.92,27
0,Control,72,0.92,22
0,Control,75,0.92,16
0,Control,96,0.92,20
0,Control,75,0.94,37
1,Inseminated,46,0.64,23
1,Inseminated,42,0.68,4
1,Inseminated,65,0.72,20
1,Inseminated,46,0.76,42
1,Inseminated,58,0.76,9
1,Inseminated,42,0.8,32
1,Inseminated,48,0.8,66
1,Inseminated,58,0.8,28
1,Inseminated,50,0.82,10
1,Inseminated,80,0.82,4
1,Inseminated,63,0.84,12
1,Inseminated,65,0.84,17
1,Inseminated,70,0.84,12
1,Inseminated,70,0.84,23
1,Inseminated,72,0.84,40
1,Inseminated,97,0.84,18
1,Inseminated,46,0.88,10
1,Inseminated,56,0.88,38
1,Inseminated,70,0.88,7
1,Inseminated,70,0.88,23
1,Inseminated,72,0.88,36
1,Inseminated,76,0.88,9
1,Inseminated,90,0.88,21
1,Inseminated,76,0.92,62
1,Inseminated,92,0.92,36
1,Virgin,21,0.68,23
1,Virgin,40,0.68,62
1,Virgin,44,0.72,28
1,Virgin,54,0.76,18
1,Virgin,36,0.78,10
1,Virgin,40,0.8,28
1,Virgin,56,0.8,22
1,Virgin,60,0.8,29
1,Virgin,48,0.84,15
1,Virgin,53,0.84,73
1,Virgin,60,0.84,10
1,Virgin,60,0.84,5
1,Virgin,65,0.84,13
1,Virgin,68,0.84,27
1,Virgin,60,0.88,20
1,Virgin,81,0.88,21
1,Virgin,81,0.88,12
1,Virgin,48,0.9,49
1,Virgin,48,0.9,17
1,Virgin,56,0.9,22
1,Virgin,68,0.9,71
1,Virgin,75,0.9,17
1,Virgin,81,0.9,10
1,Virgin,48,0.92,24
1,Virgin,68,0.92,18
8,Virgin,16,0.64,34
8,Virgin,19,0.64,6
8,Virgin,19,0.68,4
8,Virgin,32,0.72,22
8,Virgin,33,0.72,28
8,Virgin,33,0.74,31
8,Virgin,30,0.76,16
8,Virgin,42,0.76,27
8,Virgin,42,0.76,8
8,Virgin,33,0.78,32
8,Virgin,26,0.8,20
8,Virgin,30,0.8,35
8,Virgin,40,0.82,12
8,Virgin,54,0.82,14
8,Virgin,34,0.84,17
8,Virgin,34,0.84,29
8,Virgin,47,0.84,31
8,Virgin,47,0.84,6
8,Virgin,42,0.88,30
8,Virgin,47,0.88,27
8,Virgin,54,0.88,40
8,Virgin,54,0.88,19
8,Virgin,56,0.88,8
8,Virgin,60,0.88,8
8,Virgin,44,0.92,15
