Stress,SO2,O3,William
Well-watered,0,0.02,8.623533227187563
Well-watered,0,0.05,8.690642169706594
Well-watered,0,0.07,8.360071435644025
Well-watered,0,0.08,8.151909872940905
Well-watered,0,0.1,8.03268487596762
Well-watered,0.02,0.02,8.535425959677298
Well-watered,0.02,0.05,8.466320861042481
Well-watered,0.02,0.07,8.350429973538136
Well-watered,0.02,0.08,7.96102146588337
Well-watered,0.02,0.1,8.041091003708633
Well-watered,0.06,0.02,8.462948176563842
Well-watered,0.06,0.05,8.20849175174038
Well-watered,0.06,0.07,8.12740456269308
Well-watered,0.06,0.08,7.956476798036782
Well-watered,0.06,0.1,7.846589975291186
Stressed,0,0.02,8.416267272826277
Stressed,0,0.05,8.021912778985708
Stressed,0,0.07,8.167919362957816
Stressed,0,0.08,8.118802996980035
Stressed,0,0.1,7.887208585813932
Stressed,0.02,0.02,8.4906438561827
Stressed,0.02,0.05,8.235890725928495
Stressed,0.02,0.07,7.991253929840199
Stressed,0.02,0.08,8.164225652265827
Stressed,0.02,0.1,7.950854857719988
Stressed,0.06,0.02,8.30795254527102
Stressed,0.06,0.05,7.922261058353247
Stressed,0.06,0.07,8.037220031133012
Stressed,0.06,0.08,7.7823903355874595
Stressed,0.06,0.1,7.650168700845001
